NEXTFLEX_ID,Nextera_i7,seqlev,hamming
UDI0304,v2_Ad2.91,5,8
UDI0330,v2_Ad2.56,6,7
UDI0368,v2_Ad2.48,4,6
UDI0308,v2_Ad2.4,5,8
UDI0373,v2_Ad2.77,4,7
UDI0364,v2_Ad2.35,4,7
UDI0297,v2_Ad2.70,4,7
UDI0363,v2_Ad2.14,4,5
UDI0353,v2_Ad2.42,4,6
UDI0300,v2_Ad2.54,4,7
UDI0323,v2_Ad2.6,4,5
UDI0334,v2_Ad2.21,5,6
UDI0313,v2_Ad2.16,3,5
UDI0343,v2_Ad2.47,4,5
UDI0344,v2_Ad2.77,5,7
UDI0318,v2_Ad2.45,5,6
UDI0368,v2_Ad2.10,4,6
UDI0340,v2_Ad2.26,3,6
UDI0336,v2_Ad2.67,4,4
UDI0322,v2_Ad2.17,4,5
UDI0363,v2_Ad2.46,2,6
UDI0382,v2_Ad2.35,3,4
UDI0365,v2_Ad2.19,4,6
UDI0299,v2_Ad2.71,4,5
UDI0320,v2_Ad2.58,4,6
UDI0311,v2_Ad2.46,5,7
UDI0305,v2_Ad2.55,5,5
UDI0353,v2_Ad2.16,4,7
UDI0370,v2_Ad2.44,4,6
UDI0350,v2_Ad2.32,4,6
UDI0318,v2_Ad2.39,4,7
UDI0321,v2_Ad2.48,3,5
UDI0372,v2_Ad2.11,4,5
UDI0339,v2_Ad2.39,4,7
UDI0319,v2_Ad2.26,4,5
UDI0309,v2_Ad2.50,4,5
UDI0349,v2_Ad2.21,5,6
UDI0374,v2_Ad2.19,4,8
UDI0304,v2_Ad2.49,3,6
UDI0335,v2_Ad2.4,5,5
UDI0330,v2_Ad2.75,5,7
UDI0372,v2_Ad2.80,4,7
UDI0382,v2_Ad2.86,4,8
UDI0340,v2_Ad2.69,5,7
UDI0312,v2_Ad2.65,3,5
UDI0345,v2_Ad2.23,6,8
UDI0381,v2_Ad2.69,5,6
UDI0335,v2_Ad2.29,4,6
UDI0337,v2_Ad2.77,5,6
UDI0380,v2_Ad2.13,5,5
UDI0315,v2_Ad2.76,3,7
UDI0344,v2_Ad2.1,5,6
UDI0378,v2_Ad2.37,3,3
UDI0368,v2_Ad2.37,5,7
UDI0316,v2_Ad2.26,4,5
UDI0358,v2_Ad2.23,4,5
UDI0365,v2_Ad2.66,5,7
UDI0360,v2_Ad2.40,5,8
UDI0305,v2_Ad2.65,5,7
UDI0295,v2_Ad2.32,4,8
UDI0335,v2_Ad2.64,6,7
UDI0320,v2_Ad2.51,6,7
UDI0351,v2_Ad2.47,4,4
UDI0322,v2_Ad2.4,5,7
UDI0289,v2_Ad2.5,3,6
UDI0316,v2_Ad2.56,4,7
UDI0302,v2_Ad2.27,3,5
UDI0371,v2_Ad2.62,4,6
UDI0295,v2_Ad2.61,4,6
UDI0309,v2_Ad2.13,4,8
UDI0313,v2_Ad2.69,6,8
UDI0341,v2_Ad2.24,5,7
UDI0368,v2_Ad2.85,5,6
UDI0306,v2_Ad2.49,4,4
UDI0357,v2_Ad2.25,5,6
UDI0379,v2_Ad2.26,4,5
UDI0333,v2_Ad2.1,4,5
UDI0301,v2_Ad2.73,2,2
UDI0369,v2_Ad2.6,5,7
UDI0380,v2_Ad2.76,5,5
UDI0311,v2_Ad2.1,4,6
UDI0366,v2_Ad2.14,5,7
UDI0366,v2_Ad2.27,4,6
UDI0369,v2_Ad2.4,3,6
UDI0376,v2_Ad2.1,5,7
UDI0349,v2_Ad2.57,6,6
UDI0292,v2_Ad2.65,5,6
UDI0383,v2_Ad2.77,3,7
UDI0301,v2_Ad2.52,5,8
UDI0302,v2_Ad2.61,4,4
UDI0360,v2_Ad2.79,4,7
UDI0289,v2_Ad2.43,3,3
UDI0290,v2_Ad2.47,4,8
UDI0331,v2_Ad2.70,5,6
UDI0378,v2_Ad2.1,4,4
UDI0318,v2_Ad2.44,4,6
UDI0365,v2_Ad2.46,5,8
UDI0291,v2_Ad2.63,4,4
UDI0316,v2_Ad2.69,4,7
UDI0331,v2_Ad2.72,4,7
UDI0356,v2_Ad2.33,4,6
UDI0321,v2_Ad2.29,5,6
UDI0311,v2_Ad2.92,4,4
UDI0324,v2_Ad2.51,5,6
UDI0312,v2_Ad2.47,4,6
UDI0382,v2_Ad2.14,5,6
UDI0371,v2_Ad2.43,4,6
UDI0313,v2_Ad2.49,4,6
UDI0333,v2_Ad2.74,4,5
UDI0360,v2_Ad2.6,5,6
UDI0323,v2_Ad2.57,6,6
UDI0289,v2_Ad2.58,4,4
UDI0364,v2_Ad2.60,4,6
UDI0297,v2_Ad2.41,4,4
UDI0359,v2_Ad2.52,4,4
UDI0290,v2_Ad2.2,3,5
UDI0324,v2_Ad2.96,3,4
UDI0342,v2_Ad2.18,6,6
UDI0322,v2_Ad2.15,4,6
UDI0375,v2_Ad2.6,4,4
UDI0289,v2_Ad2.7,3,5
UDI0336,v2_Ad2.71,4,7
UDI0347,v2_Ad2.31,4,6
UDI0335,v2_Ad2.82,5,6
UDI0371,v2_Ad2.2,4,7
UDI0294,v2_Ad2.12,4,7
UDI0340,v2_Ad2.73,5,7
UDI0306,v2_Ad2.31,3,7
UDI0376,v2_Ad2.28,4,5
UDI0292,v2_Ad2.8,5,7
UDI0296,v2_Ad2.9,4,5
UDI0328,v2_Ad2.8,5,5
UDI0324,v2_Ad2.1,4,6
UDI0291,v2_Ad2.95,4,6
UDI0354,v2_Ad2.57,6,6
UDI0342,v2_Ad2.14,6,7
UDI0338,v2_Ad2.20,5,6
UDI0359,v2_Ad2.95,4,8
UDI0359,v2_Ad2.3,5,5
UDI0326,v2_Ad2.86,5,5
UDI0327,v2_Ad2.21,5,8
UDI0379,v2_Ad2.10,3,8
UDI0336,v2_Ad2.34,5,7
UDI0289,v2_Ad2.20,3,5
UDI0310,v2_Ad2.59,4,5
UDI0303,v2_Ad2.1,5,8
UDI0321,v2_Ad2.22,3,3
UDI0333,v2_Ad2.55,3,4
UDI0363,v2_Ad2.73,4,4
UDI0326,v2_Ad2.22,5,7
UDI0309,v2_Ad2.85,5,7
UDI0366,v2_Ad2.30,3,4
UDI0384,v2_Ad2.63,4,7
UDI0312,v2_Ad2.17,5,6
UDI0374,v2_Ad2.10,4,7
UDI0313,v2_Ad2.24,4,5
UDI0349,v2_Ad2.54,5,6
UDI0356,v2_Ad2.52,6,7
UDI0319,v2_Ad2.46,5,7
UDI0381,v2_Ad2.94,3,5
UDI0325,v2_Ad2.9,5,7
UDI0299,v2_Ad2.26,3,4
UDI0339,v2_Ad2.13,4,7
UDI0384,v2_Ad2.24,4,7
UDI0345,v2_Ad2.17,6,7
UDI0326,v2_Ad2.54,4,8
UDI0307,v2_Ad2.30,3,6
UDI0384,v2_Ad2.27,4,7
UDI0321,v2_Ad2.83,4,6
UDI0329,v2_Ad2.91,3,8
UDI0308,v2_Ad2.76,3,7
UDI0353,v2_Ad2.92,4,4
UDI0381,v2_Ad2.54,3,6
UDI0352,v2_Ad2.77,5,6
UDI0302,v2_Ad2.62,4,7
UDI0296,v2_Ad2.26,4,7
UDI0297,v2_Ad2.61,4,4
UDI0346,v2_Ad2.52,5,5
UDI0327,v2_Ad2.25,3,3
UDI0329,v2_Ad2.5,4,7
UDI0298,v2_Ad2.30,4,6
UDI0368,v2_Ad2.96,3,4
UDI0338,v2_Ad2.58,4,7
UDI0346,v2_Ad2.17,6,6
UDI0306,v2_Ad2.50,5,8
UDI0374,v2_Ad2.89,5,5
UDI0379,v2_Ad2.69,4,5
UDI0317,v2_Ad2.32,3,6
UDI0314,v2_Ad2.52,5,7
UDI0330,v2_Ad2.85,4,5
UDI0328,v2_Ad2.53,5,7
UDI0303,v2_Ad2.55,5,7
UDI0323,v2_Ad2.93,5,6
UDI0289,v2_Ad2.63,3,6
UDI0367,v2_Ad2.73,4,5
UDI0291,v2_Ad2.71,3,4
UDI0319,v2_Ad2.70,5,7
UDI0311,v2_Ad2.50,4,6
UDI0359,v2_Ad2.24,4,7
UDI0313,v2_Ad2.46,3,7
UDI0307,v2_Ad2.46,4,8
UDI0369,v2_Ad2.91,4,8
UDI0355,v2_Ad2.87,5,7
UDI0358,v2_Ad2.20,3,3
UDI0344,v2_Ad2.80,4,6
UDI0364,v2_Ad2.85,5,6
UDI0366,v2_Ad2.25,3,6
UDI0298,v2_Ad2.84,4,7
UDI0370,v2_Ad2.88,4,5
UDI0297,v2_Ad2.23,3,5
UDI0346,v2_Ad2.15,6,7
UDI0384,v2_Ad2.8,5,6
UDI0361,v2_Ad2.66,5,7
UDI0323,v2_Ad2.55,4,8
UDI0339,v2_Ad2.33,4,7
UDI0318,v2_Ad2.68,4,4
UDI0291,v2_Ad2.59,4,4
UDI0382,v2_Ad2.65,4,4
UDI0324,v2_Ad2.69,4,6
UDI0314,v2_Ad2.50,5,5
UDI0361,v2_Ad2.25,3,5
UDI0365,v2_Ad2.93,4,5
UDI0329,v2_Ad2.95,5,7
UDI0328,v2_Ad2.57,5,5
UDI0314,v2_Ad2.24,6,8
UDI0336,v2_Ad2.84,4,4
UDI0382,v2_Ad2.30,4,7
UDI0354,v2_Ad2.11,5,5
UDI0344,v2_Ad2.51,6,6
UDI0319,v2_Ad2.42,5,7
UDI0347,v2_Ad2.1,3,6
UDI0289,v2_Ad2.83,5,6
UDI0342,v2_Ad2.30,3,6
UDI0296,v2_Ad2.78,6,7
UDI0355,v2_Ad2.96,3,6
UDI0317,v2_Ad2.63,4,5
